step;plan_fact;plan_prj;plan_delta;vozv_fact;vozv_prj;prof_fact;prof_fact_left;prof_fact_right;prof_prj;prof_delta;ubound_plan;lbound_plan;ubound_prof;lbound_prof
513;-3.651;-5.335;0.196;0.779;-0.417;-2.311;-2.311;-4.314;-0.69;40.192;50.0;-50.0;70.0;10.0
514;-3.709;-5.401;0.193;0.987;-0.432;-2.335;-2.335;-4.355;-0.69;40.108;50.0;-50.0;70.0;10.0
515;-3.769;-5.466;0.191;-0.677;-0.448;-2.353;-2.353;-4.395;-0.69;40.025;50.0;-50.0;70.0;10.0
516;-3.833;-5.532;0.187;-0.885;-0.464;-2.366;-2.366;-4.433;-0.69;39.94;50.0;-50.0;70.0;10.0
517;-3.9;-5.597;0.183;-0.677;-0.479;-2.372;-2.372;-4.468;-0.69;39.856;50.0;-50.0;70.0;10.0
518;-3.97;-5.663;0.179;-0.053;-0.495;-2.371;-2.371;-4.501;-0.69;39.771;50.0;-50.0;70.0;10.0
519;-4.043;-5.728;0.174;-0.261;-0.511;-2.365;-2.365;-4.532;-0.69;39.686;50.0;-50.0;70.0;10.0
520;-4.119;-5.794;0.169;-0.469;-0.527;-2.352;-2.352;-4.558;-0.69;39.601;50.0;-50.0;70.0;10.0
521;-4.199;-5.859;0.164;-2.758;-0.542;-2.332;-2.332;-4.58;-0.69;39.516;50.0;-50.0;70.0;10.0
522;-4.281;-5.925;0.158;-3.382;-0.558;-2.307;-2.307;-4.598;-0.69;39.43;50.0;-50.0;70.0;10.0
523;-4.365;-5.99;0.151;-2.134;-0.574;-2.276;-2.276;-4.612;-0.69;39.343;50.0;-50.0;70.0;10.0
524;-4.452;-6.056;0.145;-1.718;-0.589;-2.238;-2.238;-4.622;-0.69;39.256;50.0;-50.0;70.0;10.0
525;-4.541;-6.121;0.138;-2.134;-0.605;-2.193;-2.193;-4.627;-0.69;39.169;50.0;-50.0;70.0;10.0
526;-4.634;-6.187;0.13;-3.59;-0.621;-2.138;-2.138;-4.628;-0.69;39.082;50.0;-50.0;70.0;10.0
527;-4.732;-6.252;0.123;-4.006;-0.637;-2.075;-2.075;-4.624;-0.69;38.993;50.0;-50.0;70.0;10.0
528;-4.833;-6.318;0.115;-3.59;-0.652;-2.004;-2.004;-4.617;-0.69;38.905;50.0;-50.0;70.0;10.0
529;-4.939;-6.383;0.107;-4.214;-0.668;-1.926;-1.926;-4.606;-0.69;38.815;50.0;-50.0;70.0;10.0
530;-5.049;-6.449;0.098;-2.342;-0.684;-1.841;-1.841;-4.591;-0.69;38.726;50.0;-50.0;70.0;10.0
531;-5.164;-6.514;0.089;-2.134;-0.699;-1.753;-1.753;-4.573;-0.69;38.635;50.0;-50.0;70.0;10.0
532;-5.284;-6.579;0.081;-2.134;-0.715;-1.66;-1.66;-4.552;-0.69;38.544;50.0;-50.0;70.0;10.0
533;-5.409;-6.645;0.072;-1.718;-0.731;-1.565;-1.565;-4.527;-0.69;38.453;50.0;-50.0;70.0;10.0
534;-5.538;-6.71;0.063;-1.926;-0.747;-1.468;-1.468;-4.499;-0.69;38.36;50.0;-50.0;70.0;10.0
535;-5.673;-6.776;0.053;-1.926;-0.762;-1.371;-1.371;-4.469;-0.69;38.267;50.0;-50.0;70.0;10.0
536;-5.814;-6.841;0.044;-2.966;-0.778;-1.274;-1.274;-4.435;-0.69;38.174;50.0;-50.0;70.0;10.0
537;-5.961;-6.907;0.034;-4.006;-0.794;-1.176;-1.176;-4.399;-0.69;38.079;50.0;-50.0;70.0;10.0
538;-6.112;-6.972;0.025;-4.214;-0.809;-1.079;-1.079;-4.361;-0.69;37.984;50.0;-50.0;70.0;10.0
539;-6.27;-7.038;0.015;-4.214;-0.825;-0.981;-0.981;-4.321;-0.69;37.888;50.0;-50.0;70.0;10.0
540;-6.432;-7.103;0.005;-3.382;-0.841;-0.885;-0.885;-4.279;-0.69;37.792;50.0;-50.0;70.0;10.0
541;-6.6;-7.301;-0.004;-1.301;-0.867;-0.789;-0.789;-4.236;-0.69;37.694;50.0;-50.0;70.0;10.0
542;-6.773;-7.654;-0.014;1.195;-0.907;-0.694;-0.694;-4.191;-0.69;37.596;50.0;-50.0;70.0;10.0
543;-6.95;-8.007;-0.024;0.363;-0.946;-0.602;-0.602;-4.145;-0.69;37.497;50.0;-50.0;70.0;10.0
544;-7.132;-8.36;-0.033;-1.926;-0.985;-0.512;-0.512;-4.099;-0.69;37.397;50.0;-50.0;70.0;10.0
545;-7.32;-8.713;-0.043;-2.342;-1.024;-0.424;-0.424;-4.051;-0.69;37.296;50.0;-50.0;70.0;10.0
546;-7.512;-9.066;-0.052;-1.093;-1.064;-0.339;-0.339;-4.001;-0.69;37.195;50.0;-50.0;70.0;10.0
547;-7.708;-9.419;-0.06;-0.885;-1.103;-0.256;-0.256;-3.95;-0.69;37.094;50.0;-50.0;70.0;10.0
548;-7.91;-9.772;-0.068;-0.677;-1.142;-0.177;-0.177;-3.897;-0.69;36.992;50.0;-50.0;70.0;10.0
549;-8.116;-10.125;-0.076;-0.677;-1.182;-0.1;-0.1;-3.843;-0.69;36.89;50.0;-50.0;70.0;10.0
550;-8.328;-10.478;-0.083;0.987;-1.221;-0.027;-0.027;-3.788;-0.69;36.787;50.0;-50.0;70.0;10.0
551;-8.544;-10.831;-0.09;1.195;-1.26;0.044;0.044;-3.73;-0.69;36.684;50.0;-50.0;70.0;10.0
552;-8.764;-11.184;-0.096;-2.342;-1.299;0.113;0.113;-3.671;-0.69;36.581;50.0;-50.0;70.0;10.0
553;-8.989;-11.537;-0.101;-2.966;-1.339;0.18;0.18;-3.61;-0.69;36.477;50.0;-50.0;70.0;10.0
554;-9.219;-11.89;-0.105;-2.966;-1.378;0.245;0.245;-3.547;-0.69;36.374;50.0;-50.0;70.0;10.0
555;-9.454;-12.243;-0.109;-1.51;-1.417;0.31;0.31;-3.482;-0.69;36.27;50.0;-50.0;70.0;10.0
556;-9.693;-12.596;-0.111;1.195;-1.457;0.375;0.375;-3.415;-0.69;36.167;50.0;-50.0;70.0;10.0
557;-9.937;-12.949;-0.112;2.027;-1.496;0.44;0.44;-3.346;-0.69;36.063;50.0;-50.0;70.0;10.0
558;-10.185;-13.302;-0.113;1.195;-1.535;0.505;0.505;-3.275;-0.69;35.96;50.0;-50.0;70.0;10.0
559;-10.437;-13.655;-0.112;-4.838;-1.574;0.57;0.57;-3.201;-0.69;35.856;50.0;-50.0;70.0;10.0
560;-10.693;-14.008;-0.11;-6.71;-1.614;0.636;0.636;-3.125;-0.69;35.754;50.0;-50.0;70.0;10.0
561;-10.954;-14.361;-0.106;-11.495;-1.653;0.702;0.702;-3.047;-0.69;35.651;50.0;-50.0;70.0;10.0
562;-11.22;-14.714;-0.101;-1.926;-1.692;0.767;0.767;-2.967;-0.69;35.549;50.0;-50.0;70.0;10.0
563;-11.491;-15.067;-0.095;1.403;-1.731;0.832;0.832;-2.886;-0.69;35.447;50.0;-50.0;70.0;10.0
564;-11.768;-15.42;-0.088;4.94;-1.771;0.893;0.893;-2.802;-0.69;35.345;50.0;-50.0;70.0;10.0
565;-12.052;-15.773;-0.078;5.356;-1.81;0.95;0.95;-2.717;-0.69;35.244;50.0;-50.0;70.0;10.0
566;-12.343;-16.126;-0.067;3.9;-1.849;1.004;1.004;-2.631;-0.69;35.144;50.0;-50.0;70.0;10.0
567;-12.639;-16.479;-0.055;3.275;-1.889;1.054;1.054;-2.544;-0.69;35.044;50.0;-50.0;70.0;10.0
568;-12.942;-16.832;-0.04;0.987;-1.928;1.102;1.102;-2.456;-0.69;34.945;50.0;-50.0;70.0;10.0
569;-13.251;-17.185;-0.024;2.027;-1.967;1.146;1.146;-2.367;-0.69;34.847;50.0;-50.0;70.0;10.0
570;-13.565;-17.538;-0.006;2.651;-2.006;1.187;1.187;-2.279;-0.69;34.75;50.0;-50.0;70.0;10.0
571;-13.886;-17.891;0.014;2.443;-2.046;1.225;1.225;-2.192;-0.69;34.653;50.0;-50.0;70.0;10.0
572;-14.212;-18.244;0.037;2.235;-2.085;1.26;1.26;-2.105;-0.69;34.558;50.0;-50.0;70.0;10.0
573;-14.544;-18.597;0.061;0.987;-2.124;1.293;1.293;-2.02;-0.69;34.463;50.0;-50.0;70.0;10.0
574;-14.881;-18.95;0.087;0.363;-2.164;1.323;1.323;-1.937;-0.69;34.369;50.0;-50.0;70.0;10.0
575;-15.223;-19.303;0.116;-0.261;-2.203;1.351;1.351;-1.858;-0.69;34.277;50.0;-50.0;70.0;10.0
576;-15.571;-19.656;0.147;2.027;-2.242;1.38;1.38;-1.782;-0.69;34.186;50.0;-50.0;70.0;10.0
577;-15.923;-20.009;0.181;0.571;-2.281;1.408;1.408;-1.709;-0.69;34.096;50.0;-50.0;70.0;10.0
578;-16.279;-20.362;0.217;2.651;-2.321;1.434;1.434;-1.637;-0.69;34.007;50.0;-50.0;70.0;10.0
579;-16.64;-20.715;0.255;0.155;-2.36;1.457;1.457;-1.569;-0.69;33.919;50.0;-50.0;70.0;10.0
580;-17.004;-21.068;0.296;-0.885;-2.399;1.476;1.476;-1.505;-0.69;33.833;50.0;-50.0;70.0;10.0
581;-17.37;-21.421;0.34;-1.926;-2.438;1.489;1.489;-1.444;-0.69;33.749;50.0;-50.0;70.0;10.0
582;-17.738;-21.774;0.386;-2.758;-2.478;1.497;1.497;-1.387;-0.69;33.666;50.0;-50.0;70.0;10.0
583;-18.108;-22.127;0.435;-2.758;-2.517;1.501;1.501;-1.335;-0.69;33.584;50.0;-50.0;70.0;10.0
584;-18.481;-22.48;0.487;-2.55;-2.556;1.5;1.5;-1.288;-0.69;33.504;50.0;-50.0;70.0;10.0
585;-18.856;-22.833;0.542;-1.093;-2.596;1.495;1.495;-1.245;-0.69;33.426;50.0;-50.0;70.0;10.0
586;-19.232;-23.186;0.6;0.155;-2.635;1.487;1.487;-1.207;-0.69;33.35;50.0;-50.0;70.0;10.0
587;-19.61;-23.539;0.661;1.819;-2.674;1.475;1.475;-1.174;-0.69;33.275;50.0;-50.0;70.0;10.0
588;-19.989;-23.892;0.725;0.571;-2.713;1.461;1.461;-1.145;-0.69;33.203;50.0;-50.0;70.0;10.0
589;-20.368;-24.245;0.793;-5.462;-2.753;1.444;1.444;-1.121;-0.69;33.132;50.0;-50.0;70.0;10.0
590;-20.747;-24.598;0.863;-13.576;-2.792;1.426;1.426;-1.103;-0.69;33.063;50.0;-50.0;70.0;10.0
591;-21.126;-24.951;0.937;-8.583;-2.831;1.406;1.406;-1.089;-0.69;32.996;50.0;-50.0;70.0;10.0
592;-21.505;-25.304;1.014;-4.214;-2.871;1.385;1.385;-1.08;-0.69;32.931;50.0;-50.0;70.0;10.0
593;-21.883;-25.657;1.095;0.987;-2.91;1.364;1.364;-1.075;-0.69;32.869;50.0;-50.0;70.0;10.0
594;-22.261;-26.01;1.18;2.651;-2.949;1.342;1.342;-1.075;-0.69;32.808;50.0;-50.0;70.0;10.0
595;-22.639;-26.363;1.268;2.235;-2.988;1.321;1.321;-1.077;-0.69;32.75;50.0;-50.0;70.0;10.0
596;-23.017;-26.716;1.359;1.403;-3.028;1.299;1.299;-1.083;-0.69;32.695;50.0;-50.0;70.0;10.0
597;-23.396;-27.069;1.454;0.155;-3.067;1.278;1.278;-1.09;-0.69;32.641;50.0;-50.0;70.0;10.0
598;-23.776;-27.421;1.553;0.155;-3.106;1.257;1.257;-1.1;-0.69;32.59;50.0;-50.0;70.0;10.0
599;-24.158;-27.774;1.655;-0.469;-3.145;1.236;1.236;-1.112;-0.69;32.541;50.0;-50.0;70.0;10.0
600;-24.542;-28.127;1.761;-2.966;-3.185;1.215;1.215;-1.126;-0.69;32.494;50.0;-50.0;70.0;10.0
601;-24.928;-28.48;1.869;-2.966;-3.224;1.194;1.194;-1.142;-0.69;32.449;50.0;-50.0;70.0;10.0
602;-25.315;-28.833;1.982;-2.758;-3.263;1.174;1.174;-1.16;-0.69;32.406;50.0;-50.0;70.0;10.0
603;-25.703;-29.186;2.097;-4.838;-3.303;1.155;1.155;-1.178;-0.69;32.365;50.0;-50.0;70.0;10.0
604;-26.094;-29.539;2.216;-4.214;-3.342;1.138;1.138;-1.198;-0.69;32.325;50.0;-50.0;70.0;10.0
605;-26.486;-29.892;2.337;-3.174;-3.381;1.121;1.121;-1.219;-0.69;32.288;50.0;-50.0;70.0;10.0
606;-26.881;-30.245;2.462;-2.966;-3.42;1.105;1.105;-1.242;-0.69;32.253;50.0;-50.0;70.0;10.0
607;-27.278;-30.598;2.59;-3.174;-3.46;1.09;1.09;-1.266;-0.69;32.219;50.0;-50.0;70.0;10.0
608;-27.676;-30.951;2.721;-1.718;-3.499;1.075;1.075;-1.29;-0.69;32.188;50.0;-50.0;70.0;10.0
609;-28.075;-31.304;2.855;-2.758;-3.538;1.059;1.059;-1.317;-0.69;32.158;50.0;-50.0;70.0;10.0
610;-28.475;-31.657;2.992;-4.006;-3.578;1.042;1.042;-1.345;-0.69;32.129;50.0;-50.0;70.0;10.0
611;-28.876;-32.01;3.131;-3.174;-3.617;1.023;1.023;-1.374;-0.69;32.102;50.0;-50.0;70.0;10.0
612;-29.277;-32.363;3.274;-3.382;-3.656;1.001;1.001;-1.405;-0.69;32.077;50.0;-50.0;70.0;10.0
613;-29.679;-32.716;3.419;-4.214;-3.695;0.977;0.977;-1.437;-0.69;32.053;50.0;-50.0;70.0;10.0
614;-30.081;-33.069;3.566;-5.046;-3.735;0.95;0.95;-1.471;-0.69;32.031;50.0;-50.0;70.0;10.0
615;-30.482;-33.422;3.717;-12.536;-3.774;0.92;0.92;-1.506;-0.69;32.011;50.0;-50.0;70.0;10.0
616;-30.881;-33.775;3.869;-10.247;-3.813;0.886;0.886;-1.543;-0.69;31.991;50.0;-50.0;70.0;10.0
617;-31.279;-34.128;4.025;-4.838;-3.853;0.85;0.85;-1.581;-0.69;31.973;50.0;-50.0;70.0;10.0
618;-31.675;-34.481;4.183;0.571;-3.892;0.812;0.812;-1.62;-0.69;31.957;50.0;-50.0;70.0;10.0
619;-32.068;-34.834;4.343;1.611;-3.931;0.773;0.773;-1.661;-0.69;31.941;50.0;-50.0;70.0;10.0
620;-32.459;-35.187;4.505;1.819;-3.97;0.733;0.733;-1.702;-0.69;31.927;50.0;-50.0;70.0;10.0
621;-32.847;-35.54;4.67;1.195;-4.01;0.693;0.693;-1.744;-0.69;31.914;50.0;-50.0;70.0;10.0
622;-33.234;-35.893;4.837;0.571;-4.049;0.651;0.651;-1.786;-0.69;31.902;50.0;-50.0;70.0;10.0
623;-33.619;-36.246;5.007;-0.469;-4.088;0.609;0.609;-1.827;-0.69;31.891;50.0;-50.0;70.0;10.0
624;-34.003;-36.599;5.178;-0.469;-4.127;0.567;0.567;-1.869;-0.69;31.882;50.0;-50.0;70.0;10.0
625;-34.384;-36.952;5.352;-0.677;-4.167;0.524;0.524;-1.91;-0.69;31.873;50.0;-50.0;70.0;10.0
626;-34.765;-37.305;5.527;-2.134;-4.206;0.481;0.481;-1.951;-0.69;31.865;50.0;-50.0;70.0;10.0
627;-35.143;-37.658;5.705;-2.758;-4.245;0.437;0.437;-1.99;-0.69;31.858;50.0;-50.0;70.0;10.0
628;-35.521;-38.011;5.884;-3.382;-4.285;0.393;0.393;-2.027;-0.69;31.852;50.0;-50.0;70.0;10.0
629;-35.899;-38.364;6.066;-3.59;-4.324;0.348;0.348;-2.062;-0.69;31.847;50.0;-50.0;70.0;10.0
630;-36.277;-38.717;6.249;-4.006;-4.363;0.302;0.302;-2.095;-0.69;31.843;50.0;-50.0;70.0;10.0
631;-36.656;-39.07;6.434;-3.59;-4.402;0.255;0.255;-2.127;-0.69;31.839;50.0;-50.0;70.0;10.0
632;-37.036;-39.423;6.62;-3.174;-4.442;0.206;0.206;-2.157;-0.69;31.836;50.0;-50.0;70.0;10.0
633;-37.417;-39.776;6.809;-3.174;-4.481;0.157;0.157;-2.185;-0.69;31.834;50.0;-50.0;70.0;10.0
634;-37.799;-40.129;6.999;-4.006;-4.52;0.108;0.108;-2.212;-0.69;31.832;50.0;-50.0;70.0;10.0
635;-38.184;-40.482;7.19;-4.422;-4.56;0.061;0.061;-2.236;-0.69;31.831;50.0;-50.0;70.0;10.0
636;-38.57;-40.835;7.383;-4.214;-4.599;0.014;0.014;-2.258;-0.69;31.83;50.0;-50.0;70.0;10.0
637;-38.958;-41.188;7.577;-3.174;-4.638;-0.032;-0.032;-2.278;-0.69;31.83;50.0;-50.0;70.0;10.0
638;-39.346;-41.541;7.773;-4.006;-4.677;-0.076;-0.076;-2.295;-0.69;31.83;50.0;-50.0;70.0;10.0
639;-39.735;-41.894;7.97;-4.214;-4.717;-0.117;-0.117;-2.309;-0.69;31.831;50.0;-50.0;70.0;10.0
640;-40.125;-42.247;8.169;-5.046;-4.756;-0.156;-0.156;-2.321;-0.69;31.832;50.0;-50.0;70.0;10.0
641;-40.515;-42.6;8.368;-5.67;-4.795;-0.193;-0.193;-2.329;-0.69;31.833;50.0;-50.0;70.0;10.0
642;-40.906;-42.953;8.569;-5.462;-4.834;-0.227;-0.227;-2.335;-0.69;31.835;50.0;-50.0;70.0;10.0
643;-41.298;-43.306;8.771;-3.798;-4.874;-0.258;-0.258;-2.338;-0.69;31.836;50.0;-50.0;70.0;10.0
644;-41.691;-43.659;8.974;-2.966;-4.913;-0.287;-0.287;-2.338;-0.69;31.838;50.0;-50.0;70.0;10.0
645;-42.085;-44.012;9.178;-4.838;-4.952;-0.314;-0.314;-2.334;-0.69;31.84;50.0;-50.0;70.0;10.0
646;-42.479;-44.365;9.383;-2.758;-4.992;-0.34;-0.34;-2.328;-0.69;31.842;50.0;-50.0;70.0;10.0
647;-42.875;-44.718;9.589;-4.006;-5.031;-0.367;-0.367;-2.319;-0.69;31.844;50.0;-50.0;70.0;10.0
648;-43.27;-45.071;9.796;-2.966;-5.07;-0.393;-0.393;-2.307;-0.69;31.846;50.0;-50.0;70.0;10.0
649;-43.666;-45.424;10.004;-1.926;-5.109;-0.42;-0.42;-2.294;-0.69;31.848;50.0;-50.0;70.0;10.0
650;-44.062;-45.777;10.212;-9.207;-5.149;-0.446;-0.446;-2.279;-0.69;31.85;50.0;-50.0;70.0;10.0
651;-44.458;-46.13;10.421;-12.744;-5.188;-0.472;-0.472;-2.263;-0.69;31.852;50.0;-50.0;70.0;10.0
652;-44.851;-46.483;10.631;-11.495;-5.227;-0.498;-0.498;-2.247;-0.69;31.854;50.0;-50.0;70.0;10.0
653;-45.243;-46.836;10.842;-2.758;-5.267;-0.525;-0.525;-2.23;-0.69;31.855;50.0;-50.0;70.0;10.0
654;-45.632;-47.189;11.053;0.987;-5.306;-0.55;-0.55;-2.213;-0.69;31.857;50.0;-50.0;70.0;10.0
655;-46.02;-47.542;11.265;1.195;-5.345;-0.575;-0.575;-2.195;-0.69;31.858;50.0;-50.0;70.0;10.0
656;-46.406;-47.895;11.478;0.987;-5.384;-0.601;-0.601;-2.178;-0.69;31.859;50.0;-50.0;70.0;10.0
657;-46.791;-48.248;11.692;-0.885;-5.424;-0.627;-0.627;-2.161;-0.69;31.86;50.0;-50.0;70.0;10.0
658;-47.175;-48.601;11.906;-2.342;-5.463;-0.653;-0.653;-2.144;-0.69;31.861;50.0;-50.0;70.0;10.0
659;-47.559;-48.954;12.122;-2.758;-5.502;-0.679;-0.679;-2.128;-0.69;31.861;50.0;-50.0;70.0;10.0
660;-47.94;-49.307;12.337;-2.342;-5.542;-0.706;-0.706;-2.112;-0.69;31.861;50.0;-50.0;70.0;10.0
661;-48.318;-49.66;12.554;-3.174;-5.581;-0.733;-0.733;-2.098;-0.69;31.861;50.0;-50.0;70.0;10.0
662;-48.694;-50.013;12.771;-3.174;-5.62;-0.761;-0.761;-2.086;-0.69;31.861;50.0;-50.0;70.0;10.0
663;-49.069;-50.366;12.989;-4.838;-5.659;-0.788;-0.788;-2.073;-0.69;31.861;50.0;-50.0;70.0;10.0
664;-49.442;-50.719;13.208;-6.71;-5.699;-0.815;-0.815;-2.061;-0.69;31.86;50.0;-50.0;70.0;10.0
665;-49.815;-51.072;13.428;-6.502;-5.738;-0.841;-0.841;-2.049;-0.69;31.859;50.0;-50.0;70.0;10.0
666;-50.186;-51.425;13.648;-4.214;-5.777;-0.866;-0.866;-2.036;-0.69;31.857;50.0;-50.0;70.0;10.0
667;-50.557;-51.778;13.869;-4.63;-5.816;-0.889;-0.889;-2.024;-0.69;31.856;50.0;-50.0;70.0;10.0
668;-50.928;-52.131;14.09;-6.919;-5.856;-0.909;-0.909;-2.01;-0.69;31.854;50.0;-50.0;70.0;10.0
669;-51.299;-52.484;14.313;-9.623;-5.895;-0.927;-0.927;-1.995;-0.69;31.851;50.0;-50.0;70.0;10.0
670;-51.671;-52.837;14.536;-10.663;-5.934;-0.942;-0.942;-1.978;-0.69;31.848;50.0;-50.0;70.0;10.0
671;-52.043;-53.19;14.759;-16.904;-5.974;-0.955;-0.955;-1.961;-0.69;31.845;50.0;-50.0;70.0;10.0
672;-52.415;-53.543;14.983;-19.193;-6.013;-0.964;-0.964;-1.942;-0.69;31.842;50.0;-50.0;70.0;10.0
673;-52.788;-53.896;15.208;-17.945;-6.052;-0.971;-0.971;-1.921;-0.69;31.838;50.0;-50.0;70.0;10.0
674;-53.162;-54.249;15.434;-6.919;-6.091;-0.976;-0.976;-1.899;-0.69;31.834;50.0;-50.0;70.0;10.0
675;-53.535;-54.602;15.66;-2.55;-6.131;-0.98;-0.98;-1.876;-0.69;31.829;50.0;-50.0;70.0;10.0
676;-53.91;-54.955;15.887;-1.093;-6.17;-0.982;-0.982;-1.851;-0.69;31.824;50.0;-50.0;70.0;10.0
677;-54.284;-55.308;16.115;-3.174;-6.209;-0.983;-0.983;-1.825;-0.69;31.818;50.0;-50.0;70.0;10.0
678;-54.659;-55.661;16.343;-6.919;-6.249;-0.984;-0.984;-1.796;-0.69;31.812;50.0;-50.0;70.0;10.0
679;-55.033;-56.014;16.572;-11.079;-6.288;-0.983;-0.983;-1.766;-0.69;31.806;50.0;-50.0;70.0;10.0
680;-55.408;-56.367;16.802;-9.831;-6.327;-0.982;-0.982;-1.734;-0.69;31.799;50.0;-50.0;70.0;10.0
681;-55.782;-56.72;17.032;-6.294;-6.366;-0.981;-0.981;-1.7;-0.69;31.791;50.0;-50.0;70.0;10.0
682;-56.155;-57.073;17.263;-5.462;-6.406;-0.98;-0.98;-1.666;-0.69;31.783;50.0;-50.0;70.0;10.0
683;-56.525;-57.426;17.494;-6.71;-6.445;-0.978;-0.978;-1.63;-0.69;31.775;50.0;-50.0;70.0;10.0
684;-56.893;-57.779;17.726;-6.919;-6.484;-0.975;-0.975;-1.593;-0.69;31.766;50.0;-50.0;70.0;10.0
685;-57.258;-58.132;17.959;-8.167;-6.523;-0.971;-0.971;-1.555;-0.69;31.756;50.0;-50.0;70.0;10.0
686;-57.621;-58.485;18.192;-7.959;-6.563;-0.965;-0.965;-1.514;-0.69;31.746;50.0;-50.0;70.0;10.0
687;-57.98;-58.838;18.426;-8.167;-6.602;-0.958;-0.958;-1.473;-0.69;31.735;50.0;-50.0;70.0;10.0
688;-58.336;-59.191;18.66;-8.167;-6.641;-0.949;-0.949;-1.429;-0.69;31.724;50.0;-50.0;70.0;10.0
689;-58.688;-59.544;18.896;-8.583;-6.681;-0.938;-0.938;-1.384;-0.69;31.712;50.0;-50.0;70.0;10.0
690;-59.038;-59.897;19.131;-8.999;-6.72;-0.926;-0.926;-1.337;-0.69;31.7;50.0;-50.0;70.0;10.0
691;-59.386;-60.25;19.368;-7.335;-6.759;-0.911;-0.911;-1.288;-0.69;31.687;50.0;-50.0;70.0;10.0
692;-59.732;-60.603;19.604;-6.919;-6.798;-0.896;-0.896;-1.237;-0.69;31.673;50.0;-50.0;70.0;10.0
693;-60.076;-60.956;19.842;-6.919;-6.838;-0.88;-0.88;-1.184;-0.69;31.658;50.0;-50.0;70.0;10.0
694;-60.42;-61.309;20.08;-7.751;-6.877;-0.863;-0.863;-1.129;-0.69;31.643;50.0;-50.0;70.0;10.0
695;-60.762;-61.662;20.319;-7.959;-6.916;-0.846;-0.846;-1.071;-0.69;31.628;50.0;-50.0;70.0;10.0
696;-61.105;-62.015;20.558;-7.959;-6.956;-0.83;-0.83;-1.012;-0.69;31.611;50.0;-50.0;70.0;10.0
697;-61.446;-62.368;20.798;-7.959;-6.995;-0.813;-0.813;-0.95;-0.69;31.594;50.0;-50.0;70.0;10.0
698;-61.788;-62.721;21.038;-8.583;-7.034;-0.796;-0.796;-0.887;-0.69;31.576;50.0;-50.0;70.0;10.0
699;-62.13;-63.074;21.279;-9.207;-7.073;-0.778;-0.778;-0.821;-0.69;31.557;50.0;-50.0;70.0;10.0
700;-62.472;-63.427;21.52;-8.583;-7.113;-0.758;-0.758;-0.753;-0.69;31.538;50.0;-50.0;70.0;10.0
701;-62.815;-63.78;21.762;-7.127;-7.152;-0.736;-0.736;-0.682;-0.69;31.518;50.0;-50.0;70.0;10.0
702;-63.159;-64.133;22.005;-7.751;-7.191;-0.711;-0.711;-0.61;-0.69;31.497;50.0;-50.0;70.0;10.0
703;-63.504;-64.486;22.248;-7.751;-7.231;-0.685;-0.685;-0.535;-0.69;31.475;50.0;-50.0;70.0;10.0
704;-63.851;-64.839;22.491;-7.751;-7.27;-0.656;-0.656;-0.459;-0.69;31.453;50.0;-50.0;70.0;10.0
705;-64.199;-65.192;22.735;-8.375;-7.309;-0.625;-0.625;-0.381;-0.69;31.43;50.0;-50.0;70.0;10.0
706;-64.549;-65.545;22.98;-8.999;-7.348;-0.592;-0.592;-0.301;-0.69;31.406;50.0;-50.0;70.0;10.0
707;-64.902;-65.898;23.225;-9.623;-7.388;-0.558;-0.558;-0.219;-0.69;31.382;50.0;-50.0;70.0;10.0
708;-65.257;-66.251;23.471;-10.455;-7.427;-0.522;-0.522;-0.137;-0.69;31.357;50.0;-50.0;70.0;10.0
709;-65.613;-66.604;23.718;-10.247;-7.466;-0.486;-0.486;-0.054;-0.69;31.332;50.0;-50.0;70.0;10.0
710;-65.97;-66.957;23.965;-8.375;-7.505;-0.449;-0.449;0.03;-0.69;31.307;50.0;-50.0;70.0;10.0
711;-66.327;-67.31;24.212;-13.992;-7.545;-0.412;-0.412;0.115;-0.69;31.281;50.0;-50.0;70.0;10.0
712;-66.684;-67.663;24.461;-21.273;-7.584;-0.374;-0.374;0.2;-0.69;31.255;50.0;-50.0;70.0;10.0
713;-67.039;-68.016;24.71;-17.32;-7.623;-0.336;-0.336;0.286;-0.69;31.229;50.0;-50.0;70.0;10.0
714;-67.394;-68.369;24.959;-10.663;-7.663;-0.298;-0.298;0.373;-0.69;31.203;50.0;-50.0;70.0;10.0
715;-67.751;-68.722;25.209;-1.51;-7.702;-0.26;-0.26;0.462;-0.69;31.177;50.0;-50.0;70.0;10.0
716;-68.106;-69.075;25.46;2.027;-7.741;-0.219;-0.219;0.553;-0.69;31.152;50.0;-50.0;70.0;10.0
717;-68.462;-69.428;25.712;-4.838;-7.78;-0.177;-0.177;0.645;-0.69;31.126;50.0;-50.0;70.0;10.0
718;-68.816;-69.781;25.964;-6.086;-7.82;-0.132;-0.132;0.737;-0.69;31.101;50.0;-50.0;70.0;10.0
719;-69.17;-70.134;26.217;-8.583;-7.859;-0.083;-0.083;0.829;-0.69;31.076;50.0;-50.0;70.0;10.0
720;-69.523;-70.487;26.471;-7.959;-7.898;-0.034;-0.034;0.92;-0.69;31.051;50.0;-50.0;70.0;10.0
721;-69.875;-70.84;26.725;-7.543;-7.938;0.018;0.018;1.011;-0.69;31.027;50.0;-50.0;70.0;10.0
722;-70.227;-71.193;26.98;-8.583;-7.977;0.072;0.072;1.1;-0.69;31.004;50.0;-50.0;70.0;10.0
